id,sub_transect_name,length_km,year,long_start,lat_start,long_end,lat_end
aerial_1,15,6,2001,118.0280556,5.394027778,118.0280556,5.416666667
aerial_2,18,2.63,2001,117.9847222,5.411666667,118.0083333,5.411666667
aerial_3,17,2.35,2001,118.0083333,5.4,117.9833333,5.4
aerial_4,19,4.02,2001,118.0083333,5.425,117.9833333,5.425
aerial_5,14,3.09,2001,118.0588889,5.424444444,118.0588889,5.391388889
aerial_6,16,3.09,2001,118,5.433333333,118,5.406944444
aerial_7,26,2.65,2001,117.7147222,5.448888889,117.6780556,5.448888889
aerial_8,25,7.31,2001,117.7861111,5.458333333,117.7483333,5.488333333
aerial_9,23,2.79,2001,117.8319444,5.458333333,117.8319444,5.487888889
aerial_10,9,9.89,2001,118.2916667,5.463611111,118.1961111,5.463611111
aerial_11,27,4.34,2001,117.6636111,5.466666667,117.7022222,5.466666667
aerial_12,24,1.9,2001,117.8044444,5.471666667,117.8044444,5.451666667
aerial_13,28,5.13,2001,117.6911111,5.484722222,117.6405556,5.484722222
aerial_14,13,6.96,2001,118.0944444,5.483333333,118.0944444,5.416666667
aerial_15,10,4.99,2001,118.2197222,5.476666667,118.2666667,5.476666667
aerial_16,12,3.09,2001,118.1977778,5.483333333,118.0869444,5.483333333
aerial_17,22,5.88,2001,117.8583333,5.492916667,117.8583333,5.452777778
aerial_18,21,3.1,2001,117.9294444,5.511666667,117.9019444,5.516666667
aerial_19,20,3.4,2001,117.9138889,5.502777778,117.9141667,5.533333333
aerial_20,11,5.57,2001,118.2766667,5.497777778,118.225,5.497777778
aerial_21,8,7.26,2001,118.3141667,5.519444444,118.2916667,5.463611111
aerial_22,7,2.59,2001,118.2847222,5.546388889,118.3083333,5.546388889
aerial_23,5,4.74,2001,118.2883333,5.564722222,118.3319444,5.564722222
aerial_24,6,3.51,2001,118.3211111,5.555833333,118.2865278,5.555833333
aerial_25,4,2.84,2001,118.3283333,5.574166667,118.2972222,5.574166667
aerial_26,3,4.89,2001,118.4,5.6125,118.3463889,5.6125
aerial_27,2,9.68,2001,118.3363889,5.631111111,118.4236111,5.631111111
aerial_28,1-Kinabatagan-2,8.25,2001,118.4083333,5.65,118.3305556,5.65
aerial_29,Nb 16 (SE-NW),4,2007,118.0938889,5.4,118.0555556,5.425
aerial_30,Nb 2 (W-E),9.5,2007,118.3388889,5.631111111,118.4236111,5.631111111
aerial_31,Nb 1 (E-W),8.5,2007,118.4083333,5.65,118.3305556,5.65
aerial_32,4,17.4,2003,118.8,5.025638889,118.6451389,5.025638889
aerial_33,8,27.7,2003,118.6114444,5.10625,118.6114444,5.354166667
aerial_34,5,12.3,2003,118.7,5,118.8096667,5
aerial_35,9,23.2,2003,118.5229167,5.308333333,118.5229167,5.1
aerial_36,3,20.3,2003,118.8770556,5.349166667,118.8770556,5.166666667
aerial_37,6,22.8,2003,118.7885278,5.362861111,118.7885278,5.15875
aerial_38,7,32.4,2003,118.7,5.365,118.7,5.075
aerial_39,F,55.5,2003,116.5908333,4.916666667,116.5575,5.411666667
aerial_40,E,33.8,2003,116.78,5.22,116.78,4.916666667
