id,long_start,lat_start,long_end,lat_end,year
ground_1,111.1351385,-1.248903795,111.1519027,-1.248459559,2007
ground_2,111.1558195,-1.208171976,111.1720891,-1.20894905,2007
ground_3,111.154229,-1.217355016,111.1718649,-1.217851541,2007
ground_4,111.1288283,-1.248533177,111.1134035,-1.248099624,2007
ground_5,110.9343046,-1.426196535,110.9508184,-1.427056439,2007
ground_6,110.9232296,-1.425128615,110.9229595,-1.438382826,2007
ground_7,110.325318,-1.292135453,110.3077367,-1.292130693,2007
ground_8,110.3244028,-1.319564602,110.3069027,-1.318166581,2007
ground_9,110.3574514,-1.460710795,110.357015,-1.478071251,2007
ground_10,110.3518274,-1.449708416,110.352084,-1.432194127,2007
ground_11,110.3621176,-1.457446277,110.3622485,-1.439416257,2007
ground_12,110.9768003,-2.552980951,110.970746,-2.56258888,2006
ground_13,110.9775469,-2.553134765,110.9797688,-2.557133635,2006
ground_14,110.9797688,-2.557133635,110.972644,-2.570839906,2006
ground_15,110.970746,-2.56258888,NA,NA,2006
ground_16,110.9768003,-2.552980951,110.9662486,-2.547434824,2006
ground_17,110.9656638,-2.549995147,110.9622364,-2.551496874,2006
ground_18,110.9833308,-2.574748451,110.9846261,-2.5880387,2006
ground_19,110.9723107,-2.588183244,110.9697017,-2.596841284,2006
ground_20,110.9732101,-2.598026537,110.966958,-2.596859309,2006
ground_21,110.9519534,-2.581153016,110.9683527,-2.582003963,2006
ground_22,117.013521,1.546028296,117.0059244,1.541703746,2004
ground_23,117.013521,1.546028296,117.0059244,1.541703746,2004
ground_24,117.013521,1.546028296,117.0059244,1.541703746,2004
ground_25,117.013521,1.546028296,117.0059244,1.541703746,2004
ground_26,117.0248303,1.535976701,117.0257741,1.524341929,2004
ground_27,117.0248303,1.535976701,117.0257741,1.524341929,2004
ground_28,117.0248303,1.535976701,117.0257741,1.524341929,2004
ground_29,117.0248303,1.535976701,117.0257741,1.524341929,2004
ground_30,117.0112646,1.569641622,117.0026701,1.570881123,2004
ground_31,117.0112646,1.569641622,117.0026701,1.570881123,2004
ground_32,117.0112646,1.569641622,117.0026701,1.570881123,2004
ground_33,117.0112646,1.569641622,117.0026701,1.570881123,2004
ground_34,117.0316902,1.577340615,117.0378036,1.583293598,2004
ground_35,117.0316902,1.577340615,117.0378036,1.583293598,2004
ground_36,117.0316902,1.577340615,117.0378036,1.583293598,2004
ground_37,117.0316902,1.577340615,117.0378036,1.583293598,2004
ground_38,117.028066,1.487501499,117.0202629,1.486976844,2004
ground_39,117.0291628,1.49347267,117.022079,1.500194861,2004
ground_40,116.9846904,1.498955446,116.9804831,1.506229402,2004
ground_41,116.9825239,1.485411694,116.974559,1.485312096,2004
ground_42,117.2985674,1.796576054,117.28773,1.80438,2003
ground_43,117.2985674,1.796576054,117.28773,1.80438,2003
ground_44,117.2985674,1.796576054,117.28773,1.80438,2003
ground_45,117.2985674,1.796576054,117.28773,1.80438,2003
ground_46,117.2985674,1.796576054,117.28773,1.80438,2003
ground_47,117.2985674,1.796576054,117.28773,1.80438,2003
ground_48,117.2985674,1.796576054,117.28773,1.80438,2003
ground_49,117.2985674,1.796576054,117.28773,1.80438,2003
ground_50,117.303349,1.787301987,117.30462,1.78629,2003
ground_51,117.303349,1.787301987,117.30462,1.78629,2003
ground_52,117.303349,1.787301987,117.30462,1.78629,2003
ground_53,117.303349,1.787301987,117.30462,1.78629,2003
ground_54,117.303349,1.787301987,117.30462,1.78629,2003
ground_55,117.303349,1.787301987,117.30462,1.78629,2003
ground_56,117.3046166,1.786288501,117.30462,1.78629,2003
ground_57,117.3053145,1.765371495,117.31051,1.76859,2003
ground_58,117.3065632,1.759065461,117.31372,1.75894,2003
ground_59,117.2968903,1.766838499,117.29869,1.74208,2003
ground_60,117.2923927,1.753187128,117.28342,1.7482,2003
ground_61,117.2738117,1.647311393,117.28141,1.64714,2003
ground_62,117.2546345,1.640772863,117.26194,1.64025,2003
ground_63,117.2462485,1.656696911,117.24643,1.66401,2003
ground_64,117.2473176,1.65087041,117.25349,1.65414,2003
ground_65,117.2385171,1.659945793,117.23754,1.69554,2003
ground_66,117.2368343,1.645859567,117.23637,1.63735,2003
ground_67,110.926624,-2.531935438,110.930285,-2.533772208,2007
ground_68,110.9345377,-2.577578621,110.9381087,-2.582988981,2007
ground_69,110.9577746,-2.552428589,110.9620385,-2.552220639,2007
ground_70,110.5672157,-2.580699931,110.5672157,-2.580699931,2007
ground_71,111.0361909,-2.605996819,111.038593,-2.612438299,2007
ground_72,110.9326703,-2.504884843,110.9326703,-2.504884843,2007
ground_73,116.6993778,1.532264346,116.69085,1.52149,2004
ground_74,116.6993778,1.532264346,116.69085,1.52149,2004
ground_75,116.6993778,1.532264346,116.69085,1.52149,2004
ground_76,116.6993778,1.532264346,116.69085,1.52149,2004
ground_77,116.6993778,1.532264346,116.69085,1.52149,2004
ground_78,116.6993778,1.532264346,116.69085,1.52149,2004
ground_79,116.6993778,1.532264346,116.69085,1.52149,2004
ground_80,116.6993778,1.532264346,116.69085,1.52149,2004
ground_81,116.7063514,1.550649084,116.70642,1.55859,2004
ground_82,116.7063514,1.550649084,116.70642,1.55859,2004
ground_83,116.7063514,1.550649084,116.70642,1.55859,2004
ground_84,116.7063514,1.550649084,116.70642,1.55859,2004
ground_85,116.7063514,1.550649084,116.70642,1.55859,2004
ground_86,116.7063514,1.550649084,116.70642,1.55859,2004
ground_87,116.7063514,1.550649084,116.70642,1.55859,2004
ground_88,116.7063514,1.550649084,116.70642,1.55859,2004
ground_89,116.6992057,1.54142001,116.69399,1.54723,2004
ground_90,116.6992057,1.54142001,116.69399,1.54723,2004
ground_91,116.6992057,1.54142001,116.69399,1.54723,2004
ground_92,116.6992057,1.54142001,116.69399,1.54723,2004
ground_93,116.6992057,1.54142001,116.69399,1.54723,2004
ground_94,116.6992057,1.54142001,116.69399,1.54723,2004
ground_95,116.6992057,1.54142001,116.69399,1.54723,2004
ground_96,116.6992057,1.54142001,116.69399,1.54723,2004
ground_97,116.7207359,1.54569321,NA,NA,2004
ground_98,116.7207359,1.54569321,NA,NA,2004
ground_99,116.7207359,1.54569321,NA,NA,2004
ground_100,116.7207359,1.54569321,NA,NA,2004
ground_101,116.7207359,1.54569321,NA,NA,2004
ground_102,116.7207359,1.54569321,NA,NA,2004
ground_103,116.7207359,1.54569321,NA,NA,2004
ground_104,116.7266056,1.550760379,NA,NA,2004
ground_105,116.7453364,1.585150969,116.74021,1.58909,2004
ground_106,116.7453364,1.585150969,116.74021,1.58909,2004
ground_107,116.7453364,1.585150969,116.74021,1.58909,2004
ground_108,116.7453364,1.585150969,116.74021,1.58909,2004
ground_109,116.7453364,1.585150969,116.74021,1.58909,2004
ground_110,116.7453364,1.585150969,116.74021,1.58909,2004
ground_111,116.7453364,1.585150969,116.74021,1.58909,2004
ground_112,116.7453364,1.585150969,116.74021,1.58909,2004
ground_113,116.7538072,1.566885782,NA,NA,2004
ground_114,116.7538072,1.566885782,NA,NA,2004
ground_115,116.7538072,1.566885782,NA,NA,2004
ground_116,116.7538072,1.566885782,NA,NA,2004
ground_117,116.7538072,1.566885782,NA,NA,2004
ground_118,116.7538072,1.566885782,NA,NA,2004
ground_119,116.7538072,1.566885782,NA,NA,2004
ground_120,116.7479181,1.572485268,NA,NA,2004
ground_121,116.777469,1.566454181,NA,NA,2004
ground_122,116.777469,1.566454181,NA,NA,2004
ground_123,116.777469,1.566454181,NA,NA,2004
ground_124,116.7803365,1.569204828,NA,NA,2004
ground_125,116.7665535,1.498273489,NA,NA,2004
ground_126,116.7665535,1.498273489,NA,NA,2004
ground_127,116.7665535,1.498273489,NA,NA,2004
ground_128,116.7665535,1.498273489,NA,NA,2004
ground_129,116.7665535,1.498273489,NA,NA,2004
ground_130,116.7665535,1.498273489,NA,NA,2004
ground_131,116.7665535,1.498273489,NA,NA,2004
ground_132,116.7665535,1.498273489,NA,NA,2004
ground_133,116.7700788,1.485897323,116.7701332,1.481554682,2004
ground_134,116.7700788,1.485897323,116.7701332,1.481554682,2004
ground_135,116.7700788,1.485897323,116.7701332,1.481554682,2004
ground_136,116.7700788,1.485897323,116.7701332,1.481554682,2004
ground_137,116.7700788,1.485897323,116.7701332,1.481554682,2004
ground_138,116.7700788,1.485897323,116.7701332,1.481554682,2004
ground_139,116.7700788,1.485897323,116.7701332,1.481554682,2004
ground_140,116.7700788,1.485897323,116.7701332,1.481554682,2004
ground_141,116.7744928,1.484676411,NA,NA,2004
ground_142,116.7744928,1.484676411,NA,NA,2004
ground_143,116.7744928,1.484676411,NA,NA,2004
ground_144,116.7744928,1.484676411,NA,NA,2004
ground_145,116.7744928,1.484676411,NA,NA,2004
ground_146,116.7744928,1.484676411,NA,NA,2004
ground_147,116.7744928,1.484676411,NA,NA,2004
ground_148,116.7744928,1.484676411,NA,NA,2004
ground_149,116.8142986,1.491899805,NA,NA,2004
ground_150,116.8142986,1.491899805,NA,NA,2004
ground_151,116.8142986,1.491899805,NA,NA,2004
ground_152,116.8142986,1.491899805,NA,NA,2004
ground_153,116.8142986,1.491899805,NA,NA,2004
ground_154,116.8142986,1.491899805,NA,NA,2004
ground_155,116.8142986,1.491899805,NA,NA,2004
ground_156,116.8142986,1.491899805,NA,NA,2004
ground_157,116.7962202,1.49191629,NA,NA,2004
ground_158,116.7962202,1.49191629,NA,NA,2004
ground_159,116.7962202,1.49191629,NA,NA,2004
ground_160,116.7962202,1.49191629,NA,NA,2004
ground_161,116.7962202,1.49191629,NA,NA,2004
ground_162,116.7962202,1.49191629,NA,NA,2004
ground_163,116.7962202,1.49191629,NA,NA,2004
ground_164,116.7962202,1.49191629,NA,NA,2004
ground_165,116.8161224,1.504276535,NA,NA,2004
