ID,UTM.zone,Y_start,X_start,Y_end,X_end,date_start
1,47N,362625,431786,362101,432262,20/10/2009 00:00
2,47N,362878,429631,363170,429210,21/10/2009 00:00
3,47N,363638,425054,362339,423647,24/10/2009 00:00
4,47N,363141,425451,362350,425079,26/10/2009 00:00
5,47N,364454,424547,363778,424038,27/10/2009 00:00
6,47N,435508,396370,434259,397149,06/11/2009 00:00
7,47N,435592,396427,435415,397466,07/11/2009 00:00
8,47N,435471,396851,434351,397720,08/11/2009 00:00
9,47N,432929,386972,433172,385982,11/11/2009 00:00
10,47N,433194,400221,433232,401160,16/11/2009 00:00
11,47N,421952,386109,421663,385318,08/12/2009 00:00
12,47N,420853,398302,420835,397311,04/12/2009 00:00
13,47N,408588,388114,408601,387210,24/12/2009 00:00
14,47N,396395,386942,396306,387779,13/01/2010 00:00
15,47N,396306,401228,396071,400389,16/01/2010 00:00
16,47N,372038,398158,371995,397056,31/01/2010 00:00
17,47N,371928,406622,371964,407458,27/01/2010 00:00
18,47N,383970,395704,383981,394623,09/02/2010 00:00
19,47N,408754,341034,408679,340108,12/03/2010 00:00
20,47N,396498,365823,396442,366754,17/03/2010 00:00
21,47N,421072.95,352887.69,421104.68,353831.19,13/06/2010 00:00
22,47N,408673.11,358185.92,408757.04,359109.98,06/12/2010 00:00
23,47N,384161.45,377460.24,384167.25,378405.88,01/07/2010 00:00
24,47N,371752.04,368526.33,371651.43,367608.69,01/07/2010 00:00
25,47N,433013.2,360598.04,433047.49,359627.13,11/07/2010 00:00
26,47N,335501.41,324870.63,335473.38,325880.76,24/07/2010 00:00
27,47N,335165.06,332814.68,335078.72,331543.19,15/07/2010 00:00
28,47N,328547.87,326973.57,328435.69,325956.52,20/07/2010 00:00
29,47N,335366.59,345595.01,335296.62,346488.9,16/07/2010 00:00
30,47N,322907,349445,322786,348526,20/07/2010 00:00
31,47N,322955,368162,322966,369117,24/07/2010 00:00
32,47N,384289,350128,384298,351078,30/07/2010 00:00
33,47N,359684.44,363383.75,359689.91,364342.74,01/09/2010 00:00
34,47N,359684.44,363383.75,359689.91,364342.74,01/09/2010 00:00
35,47N,347406.42,363746.91,347388.75,362792.24,23/08/2010 00:00
36,47N,359705.77,324115.07,359837.82,324885.06,29/09/2010 00:00
37,47N,359518.42,322047.06,358947.24,322529.03,25/09/2010 09:12
38,47N,359585.3,322049.67,360485.17,322022.89,26/09/2010 08:55
39,47N,359597.46,322159.96,359655.92,323267.09,27/09/2010 08:48
40,47N,359785.21,322143.74,360070.31,323023.76,28/09/2010 09:51
41,47N,347429.1,376151.49,347263.46,375249.02,25/09/2010 08:47
42,47N,334551.49,376071.06,334422.84,375022.97,29/09/2010 09:15
43,47N,433034.24,347515.54,432996.36,346577.89,19/10/2010 09:09
44,47N,335168,360731,335105,359760,12/10/2010 09:55
45,47N,371970,326380,371908,325388,01/10/2010 10:04
46,47N,347427.38,333730.29,347309.51,332787.21,17/10/2010 12:35
47,47N,382283.21,309823.27,382260.38,308890.07,07/11/2010 09:17
48,47N,433242,374577,433164,373669,08/11/2010 09:58
49,47N,433742.47,268943.71,433710.18,269830.27,06/11/2010 10:01
50,47N,433528.36,282980.32,433499.07,283828.06,16/11/2010 08:44
51,47N,359716,352828,359676,351817,04/12/2010 09:34
52,47N,359716,352828,359676,351817,04/12/2010 09:34
53,47N,420862.11,273688.85,420854.2,274474.11,22/12/2010 08:11
54,47N,445395,365238,445380,364462,24/01/2011 09:00
55,47N,387574.83,297896.62,387590.51,297078.61,23/01/2011 08:28
56,47N,347408,345401,347417,346367,01/05/2011 12:27
57,47N,359642,337639,359636,338640,19/01/2011 10:11
58,47N,408893.05,279401.87,408395.83,280086.35,05/12/2010 10:50
59,47N,337141.13,324988.09,337137.53,326014.99,02/10/2010 08:55
60,47N,337333.35,324804.96,337326,325752.04,03/10/2010 11:16
61,47N,337493.35,324958.15,337556.43,325982.58,04/10/2010 12:42
62,47N,336958.33,325072.09,336963.28,326077.43,05/10/2010 12:01
63,47N,258693.42,365980.66,258710.57,364958.65,25/06/2011 08:23
64,47N,265607.92,365714.97,265561.77,364755.66,22/06/2011 09:11
65,47N,272595.41,362210.21,272591.87,361179.58,20/06/2011 10:30
66,47N,300572.87,353419.69,300530.79,354468.31,26/06/2011 08:40
67,47N,307600.22,355907.67,307569.5,357007.88,23/06/2011 09:50
68,47N,314555.8,358099.69,314498.14,356987.9,20/06/2011 09:24
69,47N,371991,305976,372013,304815,24/06/2011 08:40
70,47N,371945,313822,371879,312740,28-JUN-11 10:16:16AM
71,47N,314387,359654,313583,359619,03-JUL-11 8:54:36AM
72,47N,265641.97,356701.75,265707.74,357702.01,19/07/2011 12:26
73,47N,272545.59,352704.08,272506.35,353708.06,23/07/2011 10:06
74,47N,286616.38,363065.43,286600,361806.74,24/07/2011 11:00
75,47N,384110,294646,384221,295426,20-JUL-11 10:43:40AM
76,47N,396403,287009,396389,286182,25-JUL-11 10:36:08AM
77,47N,421493,260680.04,421552.59,261498.51,19/08/2011 09:32
78,47N,445832.79,378667.49,445749.31,379478.18,20/08/2011 09:24
79,47N,457693.82,373504.07,457707.58,374408.43,24/08/2011 09:03
80,47N,359468,322825,358348,322817,17-AUG-11 9:27:31AM
81,47N,380891,322868,379840,322807,21-AUG-11 9:08:47AM
82,47N,279611.33,360705.4,279574.93,359687.57,04/10/2011 09:51
83,47N,293583.32,358663.54,293581.04,357567.94,06/10/2011 09:05
84,47N,457820,366907,457881,365924,02-OCT-11 10:14:44AM
85,47N,469951,363068,469932,362094,07-OCT-11 10:08:01AM
86,47N,434465.05,255885.17,434438.93,256741.9,27/10/2011 11:37
87,47N,445431.59,246214.6,445350.43,245317.86,23/10/2011 09:15
88,47N,469904,349572,469903,348500,15-OCT-11 9:44:53AM
89,47N,482299,349208,482272,348198,20-OCT-11 9:42:29AM
90,47N,445519.38,260649.86,445455.8,259718.69,24/10/2011 09:31
91,47N,457403.85,263056.74,457391.01,262246.26,30/10/2011 09:41
92,47N,435654.07,395458.54,435577.16,393912.45,22/11/2011 08:28
93,47N,435342.35,395625.22,435257.75,394071.73,23/11/2011 08:13
94,47N,435045.26,395529.33,434944.91,393988.74,24/11/2011 08:09
95,47N,434724.54,395370.32,434533.16,393882.13,21/11/2011 08:13
96,47N,434416.42,395449.01,434318.95,393969.26,20/11/2011 07:49
97,47N,438251.14,397525.1,439711.93,397544.05,20/11/2011 09:05
98,47N,438072.55,397256.1,439516.09,397255.55,19/11/2011 09:07
99,47N,437623.72,396930.89,439051.93,396973.77,21/11/2011 09:18
100,47N,437595.02,396650.94,439047.13,396643.48,22/11/2011 09:16
101,47N,437320.61,396492.66,438219.4,395398.23,24/11/2011 09:58
102,47N,445507,350028,445561,351051,24-NOV-11 9:31:03AM
103,47N,457732,351791,457768,352942,27-NOV-11 10:36:33AM
104,47N,456822.02,238524.94,456760.07,239445.56,11/12/2011 10:41
105,47N,470332.79,231764.11,470003.9,232576.22,18/12/2011 08:42
106,47N,482243.83,215686.8,482243.88,216570.55,24/12/2011 10:44
107,47N,518988.5,285295.28,518970.68,284451.26,19/12/2011 09:47
108,47N,518948.44,298069.21,518971.72,299027.46,14/12/2011 09:39
109,47N,531250.17,294393.38,531276.52,295358.1,22/12/2011 09:25
110,47N,457720,334612,457641,333590,19-DEC-11 9:55:01AM
111,47N,469813,336591,469882,335446,24-DEC-11 11:10:47AM
112,47N,359664.02,399061.57,359657.67,399990.03,23/01/2012 09:25
113,47N,359770.93,427940.82,359657.22,427062.72,27/01/2012 09:27
114,47N,494457.45,309433.01,494489.48,310396.61,30/01/2012 08:46
115,47N,506460.25,294907,506406.61,295795.37,24/01/2012 09:44
116,47N,438885.23,398409.64,439283.96,398395.94,12/02/2012 09:08
117,47N,438877.48,398487.08,439283.8,398474.83,12/02/2012 10:46
118,47N,438861,398559.46,439276.45,398534.43,12/02/2012 13:34
119,47N,438870.09,398634.22,439274.9,398619.45,12/02/2012 14:47
120,47N,438921.57,398711.1,439322.33,398719.14,13/02/2012 08:43
121,47N,438957.94,398776.09,439383.46,398760.72,13/02/2012 10:34
122,47N,518976,312291,518965,311005,25-JAN-12 10:03:17AM
123,47N,519047,324662,519024,325705,30-JAN-12 11:08:18AM
124,47N,482231,321720,482257,322755,02/03/2012 11:29
125,47N,482354,334398,482306,335475,25-FEB-12 11:21:33AM
126,47N,445457.32,330915.49,445500.64,331821,08/03/2012 10:20
127,47N,482211.61,305642.06,482291.75,306527.88,12/03/2012 10:22
128,47N,360168.28,413137.2,360071.99,414000.27,10/03/2012 09:12
129,47N,335658.03,391089.35,335636.31,391987.96,25/03/2012 09:25
130,47N,506714,323755,506671,324799,25-MAR-12 12:26:26AM
131,47N,494440,323962,494430,322924,30-MAR-12 12:30:34AM
132,47N,494486.09,337590.14,494549.85,336756.84,24/04/2012 13:36
133,47N,506732.4,340945.81,506692.39,340034.99,27/04/2012 09:24
134,47N,506649.2,356722.64,506666.11,357627.6,05/05/2012 09:21
135,47N,517804.72,337992.86,517853.82,338965.3,07/05/2012 11:16
136,47N,531234.82,335273.57,531267.03,336240.32,14/06/2012 09:40
137,47N,493986.64,351570.51,493967.19,352485.24,22/06/2012 10:40
138,47N,531248.05,308597.98,531243.19,307656.02,25/06/2012 10:01
139,47N,531222.74,320779.46,531173.71,319826.27,27/06/2012 11:27
140,47N,494522.12,367023.62,494492.57,366106.85,06/07/2012 11:08
141,47N,167166,507007,167166,507007,16/06/2003
142,47N,168966,507181,168966,507181,16/06/2003
143,47N,167200,507660,167200,507660,17/06/2003
144,47N,186715,502951,186715,502951,18/06/2003
145,47N,167166,507007,167166,507007,19/06/2003
146,47N,170044,507759,170044,507759,20/06/2003
147,47N,171488,507935,171488,507935,21/06/2003
148,47N,166951,508378,166951,508378,22/06/2003
149,47N,181401,505091,181401,505091,23/06/2003
150,47N,168485,507254,168485,507254,24/06/2003
151,47N,168966,507181,168966,507181,25/06/2003
152,47N,169862,507281,169862,507281,27/06/2003
153,47N,169862,507281,169862,507281,28/06/1998
154,47N,171422,508325,171422,508325,29/06/2003
155,47N,169937,515455,169937,515455,30/06/2003
156,47N,171488,507935,171488,507935,07/01/2003
157,47N,186190,504668,186190,504668,07/02/2003
158,47N,430883,319247,430883,319247,28/06/1998
159,47N,430883,319303,430883,319303,28/07/1998
160,47N,430883,319303,430883,319303,29/07/1998
161,47N,438643,396964,438643,396964,27/02/2001
162,47N,436585,399022,436585,399022,04/10/2001
163,47N,433527,396945,433527,396945,31/03/2001
164,47N,434055,394933,434055,394933,05/07/2001
165,47N,426609,391909,426609,391909,03/12/2001
166,47N,427619,391923,427619,391923,19/02/2001
167,47N,425585,392421,425585,392421,03/11/2001
168,47N,423053,391439,423053,391439,20/04/2001
169,47N,421475,390899,421475,390899,19/04/2001
170,47N,169671,507260,168855,507067,14/03/2004
171,47N,168855,507067,168203,506366,14/03/2004
172,47N,166912,506894,167735,507154,15/03/2004
173,47N,167735,507154,167182,508050,15/03/2004
174,47N,165869,508614,165762,508733,15/03/2004
175,47N,166098,508738,167182,508050,16/03/2004
176,47N,169671,507260,170124,507994,17/03/2004
